المقرر,المتطلب 
اتصل-101,-
اتصل-102,اتصل101
اتصل-111,اتصل101
اتصل-121,حاسب101
اتصل-131,اتصل101
اتصل-203, اتصل111 اتصل102 
اتصل-212,اتصل111
اتصل-213,اتصل212
اتصل-241,اتصل111
اتصل-242,اتصل212
اتصل-251,اتصل111
اتصل-261,اتصل212
اتصل-262,اتصل212
اتصل-288,جميع مقررات الخطة
اتصل-299,جميع مقررات الخطة
اتصل-323,-
اتصل-333,-
اتصل-334,رياض301
اتصل-375,رياض381
اتصل-404,رياض381
اتصل-412,رياض301
اتصل-424,اتصل323
اتصل-435,رياض381
اتصل-442,اتصل468
اتصل-443,اتصل468
اتصل-460,اتصل333
اتصل-465,احصا303
اتصل-466,اتصل323 اتصل465
اتصل-467,-
اتصل-468,رياض381
اتصل-469,اتصل334
اتصل-473,اتصل375
اتصل-474,اتصل375
اتصل-490,-
اجدق-111,-
اجدق-112,اجدق111
اجدق-113,اجدق111
اجدق-121,-
اجدق-122,حاسب101
اجدق-131, رياض121 اجدق111 
اجدق-203,الكت103
اجدق-204,اجدق203
اجدق-223, اجدق121 اجدق122 
اجدق-224, حاسب101 اجدق113 
اجدق-232, اجدق131 اجدق112 
اجدق-233,اجطب255
اجدق-241,اجدق112
اجدق-242, الكت223 اجدق241 الكت242 
اجدق-288,جميع مقررات الخطة
اجدق-291,-
اجدق-299,جميع مقررات الخطة
اجطب-121,الكت223
اجطب-171,-
اجطب-211,-
اجطب-231,اجطب251
اجطب-243,الكت242
اجطب-251,الكت103
اجطب-252,اجطب251
اجطب-253,اجطب261
اجطب-255,اجدق112
اجطب-261,الكت103
اجطب-262,اجطب261
اجطب-263,-
اجطب-288,جميع مقررات الخطة
اجطب-299,جميع مقررات الخطة
اجطب-332,-
اجطب-342,-
اجطب-352,فيزي301
اجطب-361,فيزي301
اجطب-422,اجطب453 اجطب361
اجطب-423,-
اجطب-424,رياض302
اجطب-425,فيزي301
اجطب-428,-
اجطب-429,-
اجطب-453,اجطب352
اجطب-454,نكيم331
اجطب-460,رياض301
اجطب-466,-
اجطب-472,اجطب453 اجطب425
اجطب-473,-
اجطب-488,-
اجطب-491,اجطب424 اجطب453
اجطب-499,جميع مقررات الخطة
احصا-101,-
احصا-111,-
احصا-303,-
احصا-481,-
احيا-101,-
احيا-111,-
احيا-221,احيا111
ادار-101,-
ادار-111,ادار101
ادار-121,ادار101
ادار-151,-
ادار-152,-
ادار-222, ادار101 
ادار-231,ادار101
ادار-241,ادار101
ادار-253,حاسب102
ادار-271,ادار101
ادار-285,ادار101
ادار-288,جميع مقررات الخطة
ادار-299,جميع مقررات الخطة
ادار-305,-
ادار-337,ادار305
ادار-363,-
ادار-365,-
ادار-373,-
ادار-392,-
ادار-435,-
ادار-436,-
ادار-438,ادار305
ادار-439,-
ادار-444,-
ادار-445,ادار305
ادار-452,-
ادار-462,ادار365
ادار-464,-
ادار-473,ادار305
ادار-492,احصا481
اسلك-001,-
اسلك-177,-
اسلك-201,-
اسلم-001,-
اسلم-002,-
اسلم-003,اسلم002
اسلم-101,-
اسلم-171,-
اسلم-172,اسلم171
اسلم-301,-
اقصد-101,-
اقصد-301,-
اقصد-304,-
اقصد-403,اقصد304
الكت-010,-
الكت-011,حاكر013
الكت-012,حاكر013
الكت-013,حاجك012
الكت-014,-
الكت-016,-
الكت-017,-
الكت-018,-
الكت-019,-
الكت-021,حاكر013
الكت-022,الكت021
الكت-023,-
الكت-024,الكت022
الكت-025,الكت022
الكت-031,مهني003
الكت-032,حاجك012
الكت-041,-
الكت-042,حاجك012
الكت-051,حاجك013
الكت-052,الكت051
الكت-053,الكت051
الكت-061,الكت042
الكت-065,-
الكت-066,-
الكت-091,الكت021
الكت-098,-
الكت-101,-
الكت-102,-
الكت-103,الكت102
الكت-121,اجدق111
الكت-131,رياض121
الكت-141,-
الكت-142, حاسب101 الكت121 
الكت-204, الكت121 اجدق112 
الكت-223,اجدق111
الكت-232,الكت141
الكت-233, الكت131 الكت242 
الكت-234, الكت141 الكت232   اجدق121   الكت141 اجدق122   الكت232 
الكت-242,الكت121 اجدق113
الكت-252,الكت121
الكت-261,الكت204
الكت-271,الكت242
الكت-288,جميع مقررات الخطة
الكت-291, الكت242 الكت232 
الكت-299,جميع مقررات الخطة
الكت-321,رياض301
الكت-322,فيزي301
الكت-328,-
الكت-329,الكت328
الكت-331,-
الكت-333,-
الكت-342,الكت333
الكت-411,الكت342
الكت-412,الكت435
الكت-427,الكت333
الكت-428,الكت322
الكت-432,الكت331
الكت-434,الكت452
الكت-435,الكت328
الكت-436,الكت474
الكت-437,الكت432
الكت-442,الكت329
الكت-452,الكت342
الكت-463,الكت428
الكت-464,الكت322
الكت-473,الكت328
الكت-474,الكت331
الكت-491, الكت452 الكت329 
المو-011,مهني003
المو-021,-
المو-022,-
المو-023,-
المو-031,-
المو-032,المو031
المو-033,-
المو-034,المو033
المو-035,-
المو-036,المو035
المو-037,-
المو-038,-
المو-039,-
المو-041,-
المو-065,-
المو-066,-
المو-075,-
المو-085,-
المو-091,-
المو-095,-
المو-098,-
انجل-001,-
انجل-002,انجل001
انجل-003,انجل002
انجل-101,-
انجل-102,انجل101 انجل111
انجل-103,انجل102 انجل100 انجل112
انجل-111,-
انجل-112,انجل111 انجل101
انجل-113,انجل112 انجل100 انجل102 انجل110
انجل-171,-
انجل-172,انجل171
انجل-204,انجل113 انجل103
انجل-301,-
انجل-302,انجل301 نجل301
بدني-001,-
بدني-002,بدني001
برمج-101,-
برمج-111,-
برمج-121,-
برمج-131,-
برمج-212,برمج111
برمج-222,برمج121
برمج-232,برمج131
برمج-234,برمج232
برمج-241,برمج101
برمج-251,برمج212
برمج-288,جميع مقررات الخطة
برمج-295, برمج232 برمج222 برمج241 
برمج-299,جميع مقررات الخطة
